archive_path	object	set0_channels	set0_samples	set0_compression	set0_frame_bytes	set0_sample_bytes	set0_facing_channels	set1_channels	set1_samples	set1_compression	set1_frame_bytes	set1_sample_bytes	set1_facing_channels	overlap_channels
charsys/hiphop/anims/gen/hiphop_turn_left_90_fast.acp	hiphop_turn_left_90_fast	30	86	1	210	18060	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_walk_left_medium.acp	hiphop_walk_left_medium	29	109	1	202	22018	2	32	1	1	136	136	0	0
charsys/hiphop/anims/gen/hiphop_lose_03.acp	hiphop_lose_03	49	161	1	296	47656	2	12	1	1	42	42	0	0
charsys/hiphop/anims/gen/hiphop_lose_02.acp	hiphop_lose_02	57	228	1	324	73872	2	4	1	1	14	14	0	0
charsys/hiphop/anims/gen/hiphop_stop_left_135_medium.acp	hiphop_stop_left_135_medium	30	83	1	210	17430	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_win_02.acp	hiphop_win_02	59	177	1	322	56994	2	2	1	1	16	16	0	0
charsys/hiphop/anims/gen/hiphop_win_01.acp	hiphop_win_01	51	143	1	300	42900	2	10	1	1	38	38	0	0
charsys/hiphop/anims/gen/hiphop_stand_bad.acp	hiphop_stand_bad	30	242	1	210	50820	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_stop_right_45_medium.acp	hiphop_stop_right_45_medium	30	89	1	210	18690	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_turn_left_180_fast.acp	hiphop_turn_left_180_fast	30	66	1	210	13860	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_stop_left_45_fast.acp	hiphop_stop_left_45_fast	30	68	1	210	14280	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_turn_backward_fast.acp	hiphop_turn_backward_fast	30	68	1	210	14280	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_stop_right_90_medium.acp	hiphop_stop_right_90_medium	30	78	1	210	16380	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_walk_backward_fast.acp	hiphop_walk_backward_fast	29	169	1	202	34138	2	32	1	1	136	136	0	0
charsys/hiphop/anims/gen/hiphop_extreme_fast_04.acp	hiphop_extreme_fast_04	30	286	1	210	60060	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_walk_left_fast.acp	hiphop_walk_left_fast	30	110	1	210	23100	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_extreme_fast_03.acp	hiphop_extreme_fast_03	30	183	1	210	38430	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_extreme_fast_02.acp	hiphop_extreme_fast_02	30	200	1	210	42000	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_extreme_fast_01.acp	hiphop_extreme_fast_01	30	279	1	210	58590	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_walk_normal_forward_medium.acp	hiphop_walk_normal_forward_medium	30	179	1	210	37590	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_turn_forward_fast.acp	hiphop_turn_forward_fast	30	81	1	210	17010	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_win_final.acp	hiphop_win_final	59	551	1	322	177422	2	2	1	1	16	16	0	0
charsys/hiphop/anims/gen/hiphop_stand_medium_03.acp	hiphop_stand_medium_03	27	154	1	192	29568	2	34	1	1	146	146	0	0
charsys/hiphop/anims/gen/hiphop_stand_medium_02.acp	hiphop_stand_medium_02	27	220	1	192	42240	2	34	1	1	146	146	0	0
charsys/hiphop/anims/gen/hiphop_turn_forward_medium.acp	hiphop_turn_forward_medium	30	77	1	210	16170	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_turn_right_135_fast.acp	hiphop_turn_right_135_fast	30	67	1	210	14070	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_stand_medium_01.acp	hiphop_stand_medium_01	27	195	1	192	37440	2	34	1	1	146	146	0	0
charsys/hiphop/anims/gen/hiphop_stop_right_45_fast.acp	hiphop_stop_right_45_fast	30	72	1	210	15120	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_walk_normal_right_medium.acp	hiphop_walk_normal_right_medium	30	127	1	210	26670	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_walk_normal_forward_fast.acp	hiphop_walk_normal_forward_fast	30	97	1	210	20370	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_stop_left_45_medium.acp	hiphop_stop_left_45_medium	30	86	1	210	18060	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_intro_02.acp	hiphop_intro_02	43	182	1	266	48412	2	18	1	1	72	72	0	0
charsys/hiphop/anims/gen/hiphop_intro_01.acp	hiphop_intro_01	45	217	1	270	58590	2	16	1	1	68	68	0	0
charsys/hiphop/anims/gen/hiphop_walk_normal_left_fast.acp	hiphop_walk_normal_left_fast	30	82	1	210	17220	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_walk_right_fast.acp	hiphop_walk_right_fast	29	108	1	202	21816	2	32	1	1	136	136	0	0
charsys/hiphop/anims/gen/hiphop_stop_left_90_medium.acp	hiphop_stop_left_90_medium	30	83	1	210	17430	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_turn_left_135_medium.acp	hiphop_turn_left_135_medium	30	77	1	210	16170	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_stop_right_135_medium.acp	hiphop_stop_right_135_medium	30	70	1	210	14700	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_walk_backward_medium.acp	hiphop_walk_backward_medium	29	166	1	202	33532	2	32	1	1	136	136	0	0
charsys/hiphop/anims/gen/hiphop_turn_right_135_medium.acp	hiphop_turn_right_135_medium	30	75	1	210	15750	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_stop_backward_medium.acp	hiphop_stop_backward_medium	30	85	1	210	17850	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_turn_left_180_medium.acp	hiphop_turn_left_180_medium	30	86	1	210	18060	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_turn_right_180_medium.acp	hiphop_turn_right_180_medium	30	78	1	210	16380	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_stop_left_90_fast.acp	hiphop_stop_left_90_fast	30	75	1	210	15750	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_stop_left_135_fast.acp	hiphop_stop_left_135_fast	30	74	1	210	15540	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_turn_right_45_medium.acp	hiphop_turn_right_45_medium	30	71	1	210	14910	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_turn_right_45_fast.acp	hiphop_turn_right_45_fast	30	72	1	210	15120	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_extreme_medium_04.acp	hiphop_extreme_medium_04	30	227	1	210	47670	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_extreme_medium_03.acp	hiphop_extreme_medium_03	30	235	1	210	49350	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_extreme_medium_02.acp	hiphop_extreme_medium_02	30	227	1	210	47670	2	31	1	1	128	128	0	0
charsys/hiphop/anims/gen/hiphop_walk_normal_right_fast.acp	hiphop_walk_normal_right_fast	30	85	1	210	17850	2	31	1	1	128	128	0	0
